"Run 1: Time (s)","Run 1: Temperature (°C)","Run 1: Temperature (°C)"
9.13,0.3,0.4
9.14,0.2,0.4
9.15,0.3,0.5
9.16,-0.1,0.3
9.17,0.3,0.4
9.18,0.3,0.4
9.19,0.2,0.4
9.20,0.5,0.6
9.21,-0.0,0.3
9.22,0.3,0.4
9.23,0.3,0.4
9.24,0.2,0.4
9.25,0.5,0.5
9.26,-0.0,0.3
9.27,0.3,0.4
9.28,0.3,0.4
9.29,0.2,0.4
9.30,-0.0,0.8
9.31,-0.0,0.3
9.32,0.3,0.4
9.33,0.2,0.4
9.34,0.2,0.4
9.35,0.6,0.6
9.36,-0.1,0.3
9.37,0.3,0.4
9.38,0.3,0.4
9.39,0.2,0.4
9.40,0.7,0.5
9.41,-0.1,0.3
9.42,0.3,0.4
9.43,0.2,0.4
9.44,0.3,0.4
9.45,0.5,0.5
9.46,-0.1,0.3
9.47,0.3,0.4
9.48,0.3,0.4
9.49,0.2,0.4
9.50,0.6,0.5
9.51,-0.1,0.3
9.52,0.3,0.4
9.53,0.3,0.4
9.54,0.2,0.4
9.55,0.6,0.5
9.56,-0.0,0.2
9.57,0.3,0.4
9.58,0.3,0.4
9.59,0.2,0.4
9.60,0.6,0.5
9.61,-0.1,0.3
9.62,0.3,0.4
9.63,0.2,0.4
9.64,0.2,0.4
9.65,0.6,0.5
9.66,-0.1,0.2
9.67,0.3,0.4
9.68,0.3,0.4
9.69,0.3,0.4
9.70,0.7,0.6
9.71,-0.1,0.3
9.72,0.3,0.4
9.73,0.3,0.4
9.74,0.2,0.3
9.75,0.7,0.6
9.76,-0.0,0.2
9.77,0.3,0.4
9.78,0.2,0.4
9.79,0.3,0.4
9.80,0.7,0.7
9.81,-0.1,0.2
9.82,0.3,0.4
9.83,0.2,0.4
9.84,0.1,0.4
9.85,0.8,0.7
9.86,-0.1,0.2
9.87,0.3,0.4
9.88,0.2,0.4
9.89,0.3,0.4
9.90,0.8,0.7
9.91,-0.1,0.2
9.92,0.3,0.4
9.93,0.2,0.4
9.94,0.2,0.4
9.95,0.8,0.7
9.96,-0.1,0.2
9.97,0.3,0.4
9.98,0.3,0.4
9.99,0.2,0.4
10.00,0.8,0.7
10.01,-0.1,0.2
10.02,0.3,0.4
10.03,0.2,0.4
10.04,0.2,0.4
10.05,0.8,0.7
10.06,-0.1,0.3
10.07,0.3,0.4
10.08,0.2,0.4
10.09,0.3,0.3
10.10,0.8,0.6
10.11,-0.1,0.2
10.12,0.3,0.4
10.13,0.3,0.4
10.14,0.2,0.3
10.15,0.7,0.6
10.16,-0.1,0.2
10.17,0.3,0.4
10.18,0.2,0.4
10.19,0.2,0.4
10.20,0.7,0.6
10.21,-0.1,0.2
10.22,0.3,0.4
10.23,0.2,0.4
10.24,0.2,0.4
10.25,0.6,0.5
10.26,-0.1,0.2
10.27,0.3,0.4
10.28,0.3,0.4
10.29,0.2,0.4
10.30,0.6,0.6
10.31,-0.1,0.2
